IDBerco;DiaTaxaOcupacao;MêsTaxaOcupacao;AnoTaxaOcupacao;TempoEmMinutosdiasFlagCarga
POAL404;16;abr;2025;0
POAL404;27;jan;2025;0
POAL404;1;mar;2025;0
POAL404;13;abr;2025;0
POAL404;8;jan;2025;0
POAL404;26;mai;2025;0
POAL404;29;jan;2025;0
POAL404;27;jun;2025;0
POAL404;19;jun;2025;0
POAL404;18;abr;2025;0
POAL404;20;mai;2025;0
POAL404;21;jan;2025;0
POAL404;8;fev;2025;0
POAL404;21;abr;2025;0
POAL404;2;mai;2025;0
POAL404;5;mai;2025;0
POAL404;26;fev;2025;0
POAL404;4;fev;2025;0
POAL404;18;mar;2025;0
POAL404;15;jun;2025;0
POAL404;14;jan;2025;0
POAL404;5;jun;2025;0
POAL404;23;jan;2025;0
POAL404;7;abr;2025;0
POAL404;23;jun;2025;0
POAL404;2;fev;2025;0
POAL404;20;mar;2025;0
POAL404;10;jun;2025;0
POAL404;9;jun;2025;0
POAL404;1;jan;2025;0
POAL404;17;mar;2025;0
POAL404;23;mai;2025;0
POAL404;2;mar;2025;0
POAL404;2;abr;2025;0
POAL404;9;jan;2025;0
POAL404;4;jun;2025;0
POAL404;25;jan;2025;0
POAL404;27;mai;2025;0
POAL404;10;mar;2025;0
POAL404;11;abr;2025;0
POAL404;25;fev;2025;0
POAL404;5;jan;2025;0
POAL404;21;mar;2025;0
POAL404;30;mai;2025;0
POAL404;1;fev;2025;0
POAL404;29;mar;2025;0
POAL404;21;jun;2025;0
POAL404;13;fev;2025;0
POAL404;21;mai;2025;0
POAL404;24;mar;2025;0
POAL404;31;jan;2025;0
POAL404;14;mai;2025;0
POAL404;29;mai;2025;0
POAL404;10;abr;2025;0
POAL404;15;mar;2025;0
POAL404;6;jun;2025;0
POAL404;16;jan;2025;0
POAL404;22;jan;2025;0
POAL404;5;abr;2025;0
POAL404;9;mar;2025;0
POAL404;6;mai;2025;0
POAL404;23;abr;2025;0
POAL404;28;fev;2025;0
POAL404;3;abr;2025;0
POAL404;4;mai;2025;0
POAL404;20;fev;2025;0
POAL404;15;abr;2025;0
POAL404;25;mai;2025;0
POAL404;27;abr;2025;0
POAL404;16;mar;2025;0
POAL404;17;fev;2025;0
POAL404;11;jan;2025;0
POAL404;28;mai;2025;0
POAL404;17;jan;2025;0
POAL404;6;jan;2025;0
POAL404;2;jun;2025;0
POAL404;24;jan;2025;0
POAL404;3;jun;2025;0
POAL404;20;jun;2025;0
POAL404;19;abr;2025;0
POAL404;22;mar;2025;0
POAL404;23;fev;2025;0
POAL404;24;mai;2025;0
POAL404;7;jan;2025;0
POAL404;14;fev;2025;0
POAL404;25;jun;2025;0
POAL404;11;jun;2025;0
POAL404;29;jun;2025;0
POAL404;21;fev;2025;0
POAL404;1;abr;2025;0
POAL404;7;mai;2025;0
POAL404;17;jun;2025;0
POAL404;26;abr;2025;0
POAL404;7;fev;2025;0
POAL404;29;abr;2025;0
POAL404;3;jan;2025;0
POAL404;13;jun;2025;0
POAL404;12;abr;2025;0
POAL404;3;mar;2025;0
POAL404;22;mai;2025;0
POAL404;10;jan;2025;0
POAL404;28;mar;2025;0
POAL404;13;mai;2025;0
POAL404;16;jun;2025;0
POAL404;3;mai;2025;0
POAL404;30;jan;2025;0
POAL404;5;mar;2025;0
POAL404;2;jan;2025;0
POAL404;6;fev;2025;0
