"id_rota,N,10,0","vl_codigo_,C,15","id_versao_,N,10,0","id_versao1,N,10,0","vl_km_inic,N,19,8","vl_km_fina,N,19,8"
50604,393BMG202507A,80,0,0,48.28
50566,393BRJ202507A,80,0,0,300.3
50228,401ARR10202507A,80,0,0,17.9
50217,401BRR202507A,80,0,0,200
50507,402AMA10202507A,80,0,0,3.8
50197,402BCE202507A,80,0,0,304.1
50663,402BMA202507A,80,0,0,316
50220,402BPI202507A,80,0,0,99.6
50232,402CCE10202507A,80,0,0,9.3
50823,402CMA10202507A,80,0,0,1.8
50323,403ACE10202507A,80,0,0,6.7
50158,403BCE202507A,80,0,0,330
50788,404BCE202507A,80,0,0,430.2
50150,404BPI202507A,80,0,0,83.7
50644,405BPB202507A,80,0,0,52
50530,405BRN202507A,80,0,0,195.7
50357,405CPB10202507A,80,0,0,4.8
50735,405CPB20202507A,80,0,0,4.7
50311,406BRN202507A,80,0,0,176.9
50317,407ABA10202507A,80,0,0,1
50501,407BBA202507A,80,0,0,793.2
50325,407BPE202507A,80,0,0,130.1
50633,407BPI202507A,80,0,0,625.3
50161,407CBA10202507A,80,0,0,41.4
50379,407CBA20202507A,80,0,0,11.1
50617,407CPE20202507A,80,0,0,36.1
50724,408APE10202507A,80,0,0,1.5
50201,408BPB202507A,80,0,0,84.6
50136,408BPE202507A,80,0,0,105.8
50563,409BAC202507A,80,0,0,152
50541,410BBA202507A,80,0,0,35.8
50349,411BAM202507A,80,0,0,85
50559,412BPB202507A,80,0,0,145.7
50641,413BAM202507A,80,0,0,40
50383,414BGO202507A,80,0,0,439.6
50594,415BBA202507A,80,0,0,215.1
50774,416BAL202507A,80,0,0,64.7
50456,417BPA202507A,80,0,0,235
50500,418BBA202507A,80,0,0,123.9
50699,418BMG202507A,80,0,0,178.7
50420,419AMS10202507A,80,0,0,5.1
50789,419BMS202507A,80,0,0,388.3
50388,420BBA202507A,80,0,0,356.1
50135,421ARO10202507A,80,0,0,45.8
50191,421BRO202507A,80,0,0,342.6
50691,421URO10202507A,80,0,0,0.4
50425,422BPA202507A,80,0,0,336
50408,423BAL202507A,80,0,0,105.9
50207,423BBA202507A,80,0,0,254.4
50310,423BPE202507A,80,0,0,196.2
50648,423CPE10202507A,80,0,0,21
50586,424APE10202507A,80,0,0,2.1
50686,424BAL202507A,80,0,0,122.9
50342,424BPE202507A,80,0,0,142.4
50301,424CAL10202507A,80,0,0,7
50629,424CPE10202507A,80,0,0,14.2
50579,424UAL10202507A,80,0,0,3.4
50385,424UAL20202507A,80,0,0,7.5
50211,424VPE10202507A,80,0,0,9.4
50577,425BRO202507A,80,0,0,148.1
50525,425URO10202507A,80,0,0,0.5
50574,425URO20202507A,80,0,0,1.1
50757,426BPB202507A,80,0,0,158.4
50520,426BPE202507A,80,0,0,41.7
50775,427BPB202507A,80,0,0,37.9
50565,427BRN202507A,80,0,0,164.7
50654,427URN10202507A,80,0,0,1.2
50791,428BPE202507A,80,0,0,197.6
50684,428CPE20202507A,80,0,0,1.9
50570,428CPE30202507A,80,0,0,3.9
50369,429BRO202507A,80,0,0,385
50822,430BBA202507A,80,0,0,432
50591,431BRR202507A,80,0,0,125
50276,432BRR202507A,80,0,0,214.7
50792,433BRR202507A,80,0,0,180.5
50683,434APB10202507A,80,0,0,3.3
50368,434BCE202507A,80,0,0,38
50273,434BPB202507A,80,0,0,34.4
50397,434CPB10202507A,80,0,0,2
50562,434CPB20202507A,80,0,0,2
50676,435BRO202507A,80,0,0,175.3
50826,436BMS202507A,80,0,0,18.1
50266,437BCE202507A,80,0,0,48.5
50361,437BRN202507A,80,0,0,32
50435,438BRS202507A,80,0,0,36
50576,438BSC202507A,80,0,0,161
50339,439BBA202507A,80,0,0,20
50765,439BES202507A,80,0,0,42.6
50669,439BMG202507A,80,0,0,16
50205,440BMG202507A,80,0,0,9
50727,441BPA202507A,80,0,0,100
50405,441BTO202507A,80,0,0,200
50805,447BES202507A,80,0,0,17.1
50709,448BRS202507A,80,0,0,22.3
50736,450BDF202507A,80,0,0,36.8
50540,451BMG202507A,80,0,0,434.4
50288,452BGO202507A,80,0,0,203.8
50504,452BMG202507A,80,0,0,308.8
50762,453BRS202507A,80,0,0,310.2
50489,454BMS202507A,80,0,0,71
50427,455BMG202507A,80,0,0,169
50820,456BSP202507A,80,0,0,218.2
50737,457BGO202507A,80,0,0,247.4
50539,457CGO10202507A,80,0,0,18.9
50450,457NGO10202507A,80,0,0,40.3
50825,458BMG202507A,80,0,0,152.8
50263,459BMG202507A,80,0,0,217.6
50512,459BRJ202507A,80,0,0,68.5
50613,459BSP202507A,80,0,0,116.5
50491,460BMG202507A,80,0,0,84.3
50740,461BMG202507A,80,0,0,118.6
50334,462BMG202507A,80,0,0,98.8
50581,463BMS202507A,80,0,0,112.5
50453,464BMG202507A,80,0,0,505.2
50246,465BRJ202507A,80,0,0,32.2
50769,466BPR202507A,80,0,0,436.6
50170,467BPR202507A,80,0,0,118.2
50130,468BRS202507A,80,0,0,142.2
50285,469APR10202507A,80,0,0,2.4
50659,469BPR202507A,80,0,0,33
50747,470ASC20202507A,80,0,0,1.7
50575,470BRS202507A,80,0,0,473.4
50651,470BSC202507A,80,0,0,356.6
50693,470CRS10202507A,80,0,0,2.6
50467,470CRS20202507A,80,0,0,10.2
50308,470CRS30202507A,80,0,0,2
