id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint,BR_PAD,UF,KM_INI_SNV,KM_FIM_SNV,KM_INI_ARRED_SNV,__row_id_snv,KM_INI_SHP,KM_FIM_SHP,KM_INI_ARRED_SHP
020BPI0495,20,BR-20,PI,Eixo Principal,Picos,3535.0,4151.0,616.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|3535,BR-20,PI,3535.0,4151.0,3535,61,,,
030ABA1005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,11.0,11.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,11.0,0,62,,,
030ABA2005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,7.0,7.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,7.0,0,63,,,
030ABA3005,30,BR-30,BA,Acesso,Vitória da Conquista,0.0,39.0,39.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,39.0,0,64,,,
030ABA3010,30,BR-30,BA,Acesso,Vitória da Conquista,39.0,73.0,34.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|39,BR-30,BA,39.0,73.0,39,65,,,
030ABA5005,30,BR-30,BA,Acesso,,0.0,39.0,39.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,39.0,0,66,,,
030ABA6005,30,BR-30,BA,Acesso,,0.0,29.0,29.0,PLA,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,29.0,0,67,,,
030BBA0227,30,BR-30,BA,Eixo Principal,Cocos,0.0,1915.0,1915.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|0,BR-30,BA,0.0,1915.0,0,68,,,
030BBA0230,30,BR-30,BA,Eixo Principal,Cocos,1915.0,2231.0,316.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|1915,BR-30,BA,1915.0,2231.0,1915,69,,,
030BBA0235,30,BR-30,BA,Eixo Principal,Cocos,2231.0,2384.0,153.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2231,BR-30,BA,2231.0,2384.0,2231,70,,,
030BBA0236,30,BR-30,BA,Eixo Principal,Cocos,2384.0,2817.0,433.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2384,BR-30,BA,2384.0,2817.0,2384,71,,,
030BBA0237,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2817.0,2865.0,48.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2817,BR-30,BA,2817.0,2865.0,2817,72,,,
