id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
030BBA0270,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3950.0,3977.0,27.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3950
030BBA0272,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3977.0,4142.0,165.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3977
030BBA0281,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4142.0,4227.0,85.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4142
030BBA0290,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4227.0,4350.0,123.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4227
030BBA0310,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4350.0,4690.0,340.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4350
030BBA0320,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4690.0,4740.0,50.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4690
030BBA0325,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4740.0,4840.0,100.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4740
030BBA0330,30,BR-30,BA,Eixo Principal,Vitória da Conquista,4840.0,5120.0,280.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|4840
030BBA0335,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5120.0,5294.0,174.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5120
030BBA0340,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5294.0,5373.0,79.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5294
030BBA0345,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5373.0,5873.0,500.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5373
030BBA0350,30,BR-30,BA,Eixo Principal,,5873.0,5884.0,11.0,PLA,Diagonal,km_crescente,Estadual,nao,2025-07,BR-30|BA|5873
030BBA0355,30,BR-30,BA,Eixo Principal,Vitória da Conquista,5884.0,6111.0,227.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|5884
030BBA0360,30,BR-30,BA,Eixo Principal,,6111.0,6112.0,1.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6111
030BBA0365,30,BR-30,BA,Eixo Principal,Vitória da Conquista,6112.0,6443.0,331.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6112
030BBA0370,30,BR-30,BA,Eixo Principal,,6443.0,6833.0,390.0,PLA,Diagonal,km_crescente,Estadual,nao,2025-07,BR-30|BA|6443
030BBA0375,30,BR-30,BA,Eixo Principal,Vitória da Conquista,6833.0,7031.0,198.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|6833
030BBA0380,30,BR-30,BA,Eixo Principal,Vitória da Conquista,7031.0,7061.0,30.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7031
030BBA0385,30,BR-30,BA,Eixo Principal,Jequié,7061.0,7221.0,160.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7061
030BBA0390,30,BR-30,BA,Eixo Principal,Jequié,7221.0,7240.0,19.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7221
030BBA0395,30,BR-30,BA,Eixo Principal,Jequié,7240.0,7601.0,361.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7240
030BBA0400,30,BR-30,BA,Eixo Principal,Jequié,7601.0,7643.0,42.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7601
030BBA0410,30,BR-30,BA,Eixo Principal,Jequié,7643.0,7696.0,53.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7643
030BBA0412,30,BR-30,BA,Eixo Principal,Jequié,7696.0,8103.0,407.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|7696
030BBA0414,30,BR-30,BA,Eixo Principal,Jequié,8103.0,8205.0,102.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8103
030BBA0430,30,BR-30,BA,Eixo Principal,Jequié,8205.0,8401.0,196.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8205
030BBA0440,30,BR-30,BA,Eixo Principal,Itabuna,8401.0,8417.0,16.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8401
030BBA0450,30,BR-30,BA,Eixo Principal,Itabuna,8417.0,8759.0,342.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8417
030BBA0452,30,BR-30,BA,Eixo Principal,Itabuna,8759.0,8906.0,147.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8759
030BBA0460,30,BR-30,BA,Eixo Principal,Itabuna,8906.0,9137.0,231.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|8906
